12.9341 	WARNING 	User requested fullscreen with size [1707 1067], but screen is actually [1920, 1080]. Using actual size
15.1088 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000012165535E20>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000012165535DC0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000012165535BE0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000121659C22B0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.1089 	EXP 	window1: mouseVisible = True
15.1089 	EXP 	window1: backgroundImage = ''
15.1089 	EXP 	window1: backgroundFit = 'none'
15.1110 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
15.1110 	EXP 	window1: recordFrameIntervals = False
15.2742 	EXP 	window1: recordFrameIntervals = True
15.4578 	EXP 	Screen (0) actual frame rate measured at 60.05Hz
15.4578 	EXP 	window1: recordFrameIntervals = False
15.4579 	EXP 	window1: mouseVisible = False
19.0518 	EXP 	digit_span: status = STARTED
19.0523 	EXP 	window1: mouseVisible = True
